ticker,commodity,date,open,high,low,close,volume,Adj Close_gold,Adj Close_SI
GC=F,Gold,1/3/2023,1836.199951171875,1839.699951171875,1836.199951171875,1839.699951171875,29,1839.699951,24.059
GC=F,Gold,1/4/2023,1845.5999755859375,1859.0999755859375,1845.5999755859375,1852.800048828125,25,1852.800049,23.792
GC=F,Gold,1/5/2023,1855.199951171875,1855.199951171875,1834.800048828125,1834.800048828125,24,1834.800049,23.257999
GC=F,Gold,1/6/2023,1838.4000244140625,1868.199951171875,1835.300048828125,1864.199951171875,26,1864.199951,23.822001
GC=F,Gold,1/9/2023,1867,1880,1867,1872.699951171875,62,1872.699951,23.712
GC=F,Gold,1/10/2023,1877.800048828125,1878.0999755859375,1871.5999755859375,1871.5999755859375,101,1871.599976,23.507
GC=F,Gold,1/11/2023,1873.0999755859375,1877.800048828125,1873.0999755859375,1874.5999755859375,1236,1874.599976,23.327
GC=F,Gold,1/12/2023,1877.199951171875,1897.4000244140625,1877.199951171875,1895.5,59,1895.5,23.863001
GC=F,Gold,1/13/2023,1899,1920.9000244140625,1898.300048828125,1918.4000244140625,512,1918.400024,24.231001
GC=F,Gold,1/17/2023,1920.0999755859375,1920.0999755859375,1905.199951171875,1907.199951171875,706,1907.199951,23.944
GC=F,Gold,1/18/2023,1911.0999755859375,1911.0999755859375,1903.0999755859375,1904.4000244140625,1027,1904.400024,23.530001
GC=F,Gold,1/19/2023,1922.0999755859375,1931.800048828125,1922.0999755859375,1922.0999755859375,371,1922.099976,23.754
GC=F,Gold,1/20/2023,1922.0999755859375,1928.5,1921.4000244140625,1926.4000244140625,1346,1926.400024,23.83
GC=F,Gold,1/23/2023,1926.5,1927.0999755859375,1915,1927.0999755859375,218,1927.099976,23.452
GC=F,Gold,1/24/2023,1931.800048828125,1936.800048828125,1931.800048828125,1933.9000244140625,201,1933.900024,23.649
GC=F,Gold,1/25/2023,1941.199951171875,1941.199951171875,1939.800048828125,1941.199951171875,7,1941.199951,23.839001
GC=F,Gold,1/26/2023,1936.5999755859375,1937.0999755859375,1927.0999755859375,1929.0999755859375,131,1929.099976,23.93
GC=F,Gold,1/27/2023,1928.5999755859375,1928.5999755859375,1928.5999755859375,1928.5999755859375,150902,1928.599976,23.527
GC=F,Gold,1/30/2023,1928.300048828125,1933.5999755859375,1920.300048828125,1922.9000244140625,27220,1922.900024,23.645
GC=F,Gold,1/31/2023,1923,1930.4000244140625,1900.5999755859375,1929.5,1910,1929.5,23.747999
GC=F,Gold,2/1/2023,1927.199951171875,1955,1922,1927.800048828125,2290,1927.800049,23.521
GC=F,Gold,2/2/2023,1952.300048828125,1959.0999755859375,1911.300048828125,1916.300048828125,748,1916.300049,23.534
GC=F,Gold,2/3/2023,1912.4000244140625,1917,1861.5,1862.9000244140625,992,1862.900024,22.334
GC=F,Gold,2/6/2023,1865.5999755859375,1880,1863.4000244140625,1866.199951171875,424,1866.199951,22.177
GC=F,Gold,2/7/2023,1870,1875.699951171875,1868,1871.699951171875,297,1871.699951,22.117001
GC=F,Gold,2/8/2023,1872.0999755859375,1880.4000244140625,1872.0999755859375,1877.4000244140625,230,1877.400024,22.367001
GC=F,Gold,2/9/2023,1875.300048828125,1884.5999755859375,1859.800048828125,1866.199951171875,223,1866.199951,22.097
GC=F,Gold,2/10/2023,1861.5999755859375,1863.5,1852.4000244140625,1862.800048828125,27,1862.800049,22.034
GC=F,Gold,2/13/2023,1859,1861,1850,1851.9000244140625,569,1851.900024,21.818001
GC=F,Gold,2/14/2023,1854.0999755859375,1862,1846.199951171875,1854,656,1854,21.841999
GC=F,Gold,2/15/2023,1842,1842,1828.199951171875,1834.199951171875,368,1834.199951,21.546
GC=F,Gold,2/16/2023,1838.5999755859375,1843.699951171875,1827.199951171875,1842,222,1842,21.684
GC=F,Gold,2/17/2023,1827.4000244140625,1842.199951171875,1818.4000244140625,1840.4000244140625,35,1840.400024,21.694
GC=F,Gold,2/21/2023,1842.5999755859375,1843,1833,1833,862,1833,21.868999
GC=F,Gold,2/22/2023,1835.699951171875,1836.199951171875,1825.0999755859375,1832,278,1832,21.660999
GC=F,Gold,2/23/2023,1826.4000244140625,1827.5,1818,1818,291,1818,21.299
