date,adj close
11/17/2022,1760.800049
11/18/2022,1751.900024
11/21/2022,1737.400024
11/22/2022,1738.300049
11/23/2022,1744.900024
11/25/2022,1753.300049
11/28/2022,1740.099976
11/29/2022,1748.400024
11/30/2022,1746
12/1/2022,1801.099976
12/2/2022,1795.900024
12/5/2022,1767.400024
12/6/2022,1769.300049
12/7/2022,1785.5
12/8/2022,1788.699951
12/9/2022,1798.099976
12/12/2022,1780.5
12/13/2022,1813.900024
12/14/2022,1807.5
12/15/2022,1777.199951
12/16/2022,1790
12/19/2022,1787.699951
12/20/2022,1815.900024
12/21/2022,1815.900024
12/22/2022,1787
12/23/2022,1795.900024
12/27/2022,1814.800049
12/28/2022,1807.900024
12/29/2022,1819.5
12/30/2022,1819.699951
1/3/2023,1839.699951
1/4/2023,1852.800049
1/5/2023,1834.800049
1/6/2023,1864.199951
1/9/2023,1872.699951
1/10/2023,1871.599976
1/11/2023,1874.599976
1/12/2023,1895.5
1/13/2023,1918.400024
1/17/2023,1907.199951
1/18/2023,1904.400024
1/19/2023,1922.099976
1/20/2023,1926.400024
1/23/2023,1927.099976
1/24/2023,1933.900024
1/25/2023,1941.199951
1/26/2023,1929.099976
1/27/2023,1928.599976
1/30/2023,1922.900024
1/31/2023,1929.5
2/1/2023,1927.800049
2/2/2023,1916.300049
2/3/2023,1862.900024
2/6/2023,1866.199951
2/7/2023,1871.699951
2/8/2023,1877.400024
2/9/2023,1866.199951
2/10/2023,1862.800049
2/13/2023,1851.900024
2/14/2023,1854
2/15/2023,1834.199951
2/16/2023,1842
2/17/2023,1840.400024
2/21/2023,1833
2/22/2023,1832
2/23/2023,1818
2/24/2023,1808.800049
2/27/2023,1817
2/28/2023,1828.900024
3/1/2023,1837.699951
3/2/2023,1833.5
3/3/2023,1847.699951
3/6/2023,1847.900024
3/7/2023,1813.900024
3/8/2023,1812.699951
3/9/2023,1829.300049
3/10/2023,1862
3/13/2023,1911.699951
3/14/2023,1906.199951
3/15/2023,1926.599976
3/16/2023,1919
3/17/2023,1969.800049
3/20/2023,1979.199951
3/21/2023,1938
3/22/2023,1946.800049
3/23/2023,1993.800049
3/24/2023,1982.099976
3/27/2023,1952.400024
3/28/2023,1972.400024
3/29/2023,1966.099976
3/30/2023,1980.300049
3/31/2023,1969
4/3/2023,1983.900024
4/4/2023,2022.199951
4/5/2023,2020.900024
4/6/2023,2011.900024
4/10/2023,1989.099976
4/11/2023,2004.800049
4/12/2023,2010.900024
4/13/2023,2041.300049
4/14/2023,2002.199951
4/17/2023,1994.199951
4/18/2023,2007.400024
